pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
Kepler-466 c,Kepler-466,Transit,2016,3.709213846,0.0688,1.25,87.351625,0.0331,80.45,939.0,5927.0,1.05,1.04,-0.01,530.122,12.799,12.7632
Kepler-467 b,Kepler-467,Transit,2016,24.99324193,0.0688,2.25,87.351625,0.0331,80.45,939.0,5809.0,1.37,1.05,0.06,466.265,12.428,12.359
Kepler-468 b,Kepler-468,Transit,2016,38.478757067,0.0688,13.34,87.351625,0.0331,80.45,939.0,5498.0,0.87,0.96,0.1,442.871,13.852,13.7299
Kepler-47 b,Kepler-47,Transit,2012,49.4643,0.2877,3.05,2.07,0.021,80.45,939.0,5596.0,0.936,0.957,0.0195,1025.02,15.31,15.1626
Kepler-47 c,Kepler-47,Transit,2012,303.227,0.9638,4.65,3.17,0.044,80.45,939.0,5596.0,0.936,0.957,0.0195,1025.02,15.31,15.1626
Kepler-47 d,Kepler-47,Transit,2019,187.366,0.6992,7.04,19.02,0.024,80.45,939.0,5596.0,0.936,0.957,0.0195,1025.02,15.31,15.1626
Kepler-471 b,Kepler-471,Transit,2016,5.014234575,0.0688,14.96,87.351625,0.0331,80.45,939.0,6733.0,1.8,1.49,0.07,1249.41,13.767,13.7887
Kepler-472 b,Kepler-472,Transit,2016,4.176255514,0.0688,3.22,87.351625,0.0331,80.45,939.0,4996.0,0.78,0.85,0.16,306.602,13.898,13.6698
Kepler-473 b,Kepler-473,Transit,2016,14.55731705,0.0688,4.08,87.351625,0.0331,80.45,939.0,5816.0,1.34,1.06,0.12,905.937,13.548,13.3691
Kepler-474 b,Kepler-474,Transit,2016,5.660672935,0.0688,3.06,87.351625,0.0331,80.45,939.0,5785.0,1.08,0.99,-0.01,841.496,13.629,13.4689
Kepler-475 b,Kepler-475,Transit,2016,3.105508189,0.0688,2.49,87.351625,0.0331,80.45,939.0,5009.0,0.79,0.86,0.21,280.069,13.512,13.3163
Kepler-476 b,Kepler-476,Transit,2016,14.00640607,0.0688,3.08,87.351625,0.0331,80.45,939.0,5837.0,1.09,1.03,0.04,813.535,14.018,13.8596
Kepler-477 b,Kepler-477,Transit,2016,11.11990653,0.0688,2.07,87.351625,0.0331,80.45,939.0,5240.0,0.79,0.87,-0.04,501.574,13.835,13.7756
Kepler-478 b,Kepler-478,Transit,2016,13.2217576,0.0688,2.71,87.351625,0.0331,80.45,939.0,5210.0,0.8,0.85,-0.03,501.574,14.156,13.9672
Kepler-479 b,Kepler-479,Transit,2016,12.49341307,0.0688,2.12,87.351625,0.0331,80.45,939.0,5247.0,0.81,0.86,-0.02,344.901,13.724,13.544
Kepler-48 b,Kepler-48,Transit,2012,4.778,0.0688,1.88,3.94,0.0331,80.45,939.0,5194.0,0.89,0.88,0.17,306.738,13.174,13.0772
Kepler-48 c,Kepler-48,Transit,2012,9.67395,0.0688,2.71,14.61,0.0331,80.45,939.0,5194.0,0.89,0.88,0.17,306.738,13.174,13.0772
Kepler-48 d,Kepler-48,Transit,2014,42.8961,0.0688,2.04,7.93,0.0331,80.45,939.0,5194.0,0.89,0.88,0.17,306.738,13.174,13.0772
Kepler-480 b,Kepler-480,Transit,2016,4.919583795,0.0688,2.78,87.351625,0.0331,80.45,939.0,6322.0,1.34,1.25,0.11,847.508,13.23,13.2113
Kepler-481 b,Kepler-481,Transit,2016,10.06082567,0.0688,2.5,87.351625,0.0331,80.45,939.0,5802.0,1.09,1.01,0.03,813.724,14.054,13.8151
Kepler-482 b,Kepler-482,Transit,2016,56.35418576,0.0688,2.36,87.351625,0.0331,80.45,939.0,4871.0,0.72,0.75,-0.13,313.068,14.049,13.7621
Kepler-483 b,Kepler-483,Transit,2016,30.229104,0.0688,3.21,87.351625,0.0331,80.45,939.0,6346.0,1.47,1.28,0.09,860.355,13.452,13.3892
Kepler-484 b,Kepler-484,Transit,2016,10.045569313,0.0688,2.28,87.351625,0.0331,80.45,939.0,5668.0,0.87,0.96,-0.1,382.136,13.077,13.0002
Kepler-485 b,Kepler-485,Transit,2016,3.243259796,0.0688,14.41,87.351625,0.0331,80.45,939.0,5958.0,1.09,1.07,0.04,1140.95,15.069,14.8981
Kepler-487 b,Kepler-487,Transit,2016,15.358768403,0.0688,11.42,87.351625,0.0331,80.45,939.0,5444.0,0.88,0.91,0.0,872.343,14.882,15.0647
Kepler-487 c,Kepler-487,Transit,2016,38.6519976,0.0688,2.68,87.351625,0.0331,80.45,939.0,5444.0,0.88,0.91,0.0,872.343,14.882,15.0647
Kepler-487 d,Kepler-487,Transit,2021,2.418390036,0.0688,2.77513568,87.351625,0.0331,80.45,939.0,5422.0,0.887,0.874,0.02,872.343,14.882,15.0647
Kepler-489 b,Kepler-489,Transit,2016,17.276296119,0.0688,7.72,87.351625,0.0331,80.45,939.0,5014.0,0.76,0.82,0.0,369.645,14.221,14.0178
